File	/Users/minjaesong/Downloads/MONOTONE-master/SWINGIN1.MON
Length	31 patterns
voices	3
Order list:
1B 1C 19 19 17 18 00 01 02 03 04 05 06 07 10 08 09 0A 0B 0C 0D 0E 0F 11 12 13 14 11 12 13 1D 1E 

Order 1B
rw | nnn edd | nnn edd | nnn edd
37 | ... 442 | G#1 000 | === 000
38 | B-4 442 | C-4 220 | C#6 F05
39 | ... 442 | C-3 220 | === 000
3A | A#4 000 | G#2 000 | G#5 F03
3B | ... 000 | ... 000 | === 000
3C | F#4 442 | G#3 308 | D#5 F05
3D | ... 442 | ... 308 | === 000
3E | D#4 442 | G#2 308 | C#6 F03
3F | ... 442 | ... 308 | === 000

Order 0D
rw | nnn edd | nnn edd | nnn edd

00 | F#4 000 | F-3 210 | D#5 F05
01 | G#4 305 | C-1 320 | === 000
02 | ... 305 | E-2 000 | G#5 F03
03 | ... 305 | ... 000 | === 000
04 | ... 305 | E-1 000 | F#6 F05
05 | ... 305 | ... 000 | === 000
06 | G#4 442 | E-2 000 | G#5 F03
07 | ... 442 | G#1 000 | === 000
08 | ... 442 | C-4 220 | D#5 F05
09 | ... 442 | C-3 220 | === 000
0A | D#4 000 | G#4 000 | B-4 F03
0B | ... 000 | ... 000 | ... 000
0C | G#4 442 | E-2 000 | B-5 F05
0D | ... 442 | ... 000 | === 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | G#4 442 | F-3 210 | D#6 F05
11 | ... 442 | C-1 320 | === 000
12 | ... 442 | E-1 000 | G#5 F03
13 | ... 442 | ... 000 | === 000
14 | F#4 000 | E-2 000 | F#6 F05
15 | ... 000 | ... 000 | === 000
16 | ... 000 | ... 000 | G#5 F03
17 | ... 000 | E-1 000 | === 000
18 | D#5 000 | C-4 220 | B-5 F05
19 | ... 000 | C-3 220 | === 000
1A | ... 000 | E-2 204 | G#5 F03
1B | ... 000 | E-1 304 | === 000
1C | F#5 000 | ... 304 | D#6 F05
1D | ... 000 | ... 304 | === 000
1E | ... 000 | ... 310 | G#5 F03
1F | ... 000 | ... 000 | === 000
20 | F#5 000 | F-3 210 | D#6 F05
21 | G#5 310 | C-1 320 | === 000
22 | ... 310 | E-2 000 | G#5 F03
23 | ... 310 | ... 000 | === 000
24 | F#5 000 | E-1 000 | F#6 F05
25 | ... 442 | ... 000 | === 000
26 | ... 442 | E-2 000 | G#5 F03
27 | ... 442 | E-1 000 | === 000
28 | ... 442 | C-4 220 | D#5 F05
29 | ... 442 | C-3 220 | === 000
2A | D#4 000 | G#4 000 | B-4 F03
2B | ... 000 | ... 000 | ... 000
2C | F#5 442 | E-2 000 | B-5 F05
2D | ... 442 | ... 000 | === 000
2E | D#4 000 | G#4 000 | B-4 F03
2F | ... 000 | ... 000 | ... 000
30 | F#5 442 | F-3 210 | D#5 F05
31 | ... 442 | C-1 320 | === 000
32 | ... 442 | E-1 000 | G#5 F03
33 | ... 442 | ... 000 | === 000
34 | G#5 000 | E-2 000 | F#6 F05
35 | ... 000 | ... 000 | === 000
36 | ... 442 | ... 000 | G#5 F03
37 | ... 442 | E-1 000 | === 000
38 | F#5 442 | C-4 220 | B-5 F05
39 | ... 442 | C-3 220 | === 000
3A | ... 442 | E-2 000 | G#5 F03
3B | ... 442 | ... 000 | === 000
3C | D#5 442 | E-4 210 | D#5 F05
3D | ... 442 | E-3 320 | === 000
3E | C#5 442 | E-2 000 | G#5 F03
3F | ... 442 | ... 000 | === 000

Order 0E
rw | nnn edd | nnn edd | nnn edd

00 | C#5 000 | F-3 210 | D#5 F05
01 | D#5 305 | C-1 320 | === 000
02 | ... 305 | C#2 000 | B-5 F03
03 | ... 305 | ... 000 | === 000
04 | ... 305 | C#1 000 | G#5 F05
05 | ... 305 | ... 000 | === 000
06 | D#5 442 | C#2 000 | D#5 F03
07 | ... 442 | C#1 000 | === 000
08 | ... 442 | C-4 220 | B-5 F05
09 | ... 442 | C-3 220 | === 000
0A | D#4 000 | G#4 000 | B-4 F03
0B | ... 000 | ... 000 | ... 000
0C | D#5 442 | C#2 000 | D#5 F05
0D | ... 442 | ... 000 | === 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | D#5 442 | F-3 210 | D#5 F05
11 | ... 442 | C-1 320 | === 000
12 | G#4 000 | C#1 000 | A#5 F03
13 | ... 000 | ... 000 | === 000
14 | A#4 000 | C#2 000 | G#5 F05
15 | ... 000 | ... 000 | === 000
16 | B-4 000 | ... 000 | D#5 F03
17 | ... 000 | C#1 000 | === 000
18 | D#5 000 | C-4 220 | A#5 F05
19 | ... 000 | C-3 220 | === 000
1A | G#4 000 | G#2 204 | G#5 F03
1B | ... 000 | G#1 304 | === 000
1C | A#4 000 | ... 304 | D#5 F05
1D | ... 000 | ... 304 | === 000
1E | B-4 000 | ... 310 | A#5 F03
1F | ... 000 | ... 000 | === 000
20 | F#5 000 | F-3 210 | G#5 F05
21 | ... 000 | C-1 320 | === 000
22 | ... 442 | C#2 000 | D#5 F03
23 | ... 442 | ... 000 | === 000
24 | ... 442 | C#1 000 | D#6 F05
25 | ... 442 | ... 000 | === 000
26 | ... 442 | C#2 000 | G#5 F03
27 | ... 442 | C#1 000 | === 000
28 | ... 442 | C-4 220 | D#5 F05
29 | ... 442 | C-3 220 | === 000
2A | D#4 000 | G#4 000 | B-4 F03
2B | ... 000 | ... 000 | ... 000
2C | F#5 442 | C#2 000 | G#5 F05
2D | ... 442 | ... 000 | === 000
2E | D#4 000 | G#4 000 | B-4 F03
2F | ... 000 | ... 000 | ... 000
30 | G#5 000 | F-3 210 | D#5 F05
31 | ... 442 | C-1 320 | === 000
32 | ... 442 | C#1 000 | C#6 F03
33 | F#5 000 | ... 000 | === 000
34 | ... 442 | C#2 000 | G#5 F05
35 | ... 442 | ... 000 | === 000
36 | D#5 000 | ... 000 | D#5 F03
37 | ... 000 | C#1 000 | === 000
38 | F#5 000 | C-4 220 | C#6 F05
39 | ... 442 | C-3 220 | === 000
3A | ... 442 | G#2 000 | G#5 F03
3B | D#5 000 | ... 000 | === 000
3C | ... 442 | C#2 110 | D#5 F05
3D | ... 442 | C#3 320 | === 000
3E | C#5 000 | C#4 000 | C#6 F03
3F | ... 000 | C#3 000 | === 000

Order 0F
rw | nnn edd | nnn edd | nnn edd

00 | C#5 000 | F-3 210 | D#5 F05
01 | D#5 304 | C-1 320 | === 000
02 | ... 304 | G#2 000 | B-5 F03
03 | ... 304 | ... 000 | === 000
04 | ... 304 | G#1 000 | G#5 F05
05 | ... 304 | ... 000 | === 000
06 | ... 304 | G#2 000 | D#5 F03
07 | D#5 442 | G#1 000 | === 000
08 | ... 442 | C-4 220 | B-5 F05
09 | ... 442 | C-3 220 | === 000
0A | D#4 000 | G#4 000 | B-4 F03
0B | ... 000 | ... 000 | ... 000
0C | D#5 442 | G#2 000 | D#5 F05
0D | ... 442 | ... 000 | === 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | D#5 442 | F-3 210 | D#5 F05
11 | ... 442 | C-1 320 | === 000
12 | ... 442 | G#1 000 | A#5 F03
13 | ... 442 | ... 000 | === 000
14 | ... 442 | G#2 000 | G#5 F05
15 | ... 442 | ... 000 | === 000
16 | D#5 442 | ... 000 | D#5 F03
17 | === 442 | G#1 000 | === 000
18 | D#5 442 | C-4 220 | A#5 F05
19 | === 442 | C-3 220 | === 000
1A | D#5 442 | G#2 204 | G#5 F03
1B | === 442 | G#1 304 | === 000
1C | D#5 442 | ... 304 | D#5 F05
1D | === 442 | ... 304 | === 000
1E | D#5 442 | ... 310 | A#5 F03
1F | === 442 | ... 000 | === 000
20 | D#5 442 | F-3 210 | G#5 F05
21 | === 442 | C-1 320 | === 000
22 | D#5 442 | G#2 000 | D#5 F03
23 | === 442 | ... 000 | === 000
24 | D#5 442 | G#1 000 | D#6 F05
25 | === 442 | ... 000 | === 000
26 | D#5 442 | G#2 000 | G#5 F03
27 | === 442 | G#1 000 | === 000
28 | ... 442 | C-4 220 | D#5 F05
29 | ... 442 | C-3 220 | === 000
2A | D#4 000 | G#4 000 | B-4 F03
2B | ... 000 | ... 000 | ... 000
2C | D#5 442 | G#2 000 | G#5 F05
2D | ... 442 | ... 000 | === 000
2E | D#4 000 | G#4 000 | B-4 F03
2F | ... 000 | ... 000 | ... 000
30 | F#5 442 | F-3 210 | D#5 F05
31 | D#5 442 | C-1 320 | === 000
32 | C#5 442 | G#1 000 | C#6 F03
33 | D#5 442 | ... 000 | === 000
34 | C#5 442 | G#2 000 | G#5 F05
35 | B-4 442 | ... 000 | === 000
36 | A#4 442 | ... 000 | D#5 F03
37 | B-4 442 | G#1 000 | === 000
38 | A#4 442 | C-4 220 | C#6 F05
39 | G#4 442 | C-3 220 | === 000
3A | A#4 442 | G#2 000 | G#5 F03
3B | G#4 442 | ... 000 | === 000
3C | F#4 442 | G#2 110 | D#5 F05
3D | G#4 442 | G#3 320 | === 000
3E | F#4 442 | G#4 000 | C#6 F03
3F | D#4 442 | G#3 000 | === 000

Order 11
rw | nnn edd | nnn edd | nnn edd

00 | D#4 000 | F-3 210 | D#5 F05
01 | === 000 | C-1 320 | === 000
02 | G#4 000 | G#2 000 | B-5 F03
03 | === 000 | ... 000 | === 000
04 | A#4 000 | G#1 000 | G#5 F05
05 | === 000 | ... 000 | === 000
06 | B-4 000 | G#2 000 | D#5 F03
07 | === 000 | G#1 000 | === 000
08 | D#5 000 | C-4 220 | B-5 F05
09 | === 000 | C-3 220 | === 000
0A | D#4 000 | G#4 000 | B-4 F03
0B | ... 000 | ... 000 | ... 000
0C | A#4 000 | G#2 000 | D#5 F05
0D | === 000 | ... 000 | === 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | F#5 000 | F-3 210 | D#5 F05
11 | === 000 | C-1 320 | === 000
12 | G#4 000 | G#1 000 | A#5 F03
13 | === 000 | ... 000 | === 000
14 | A#4 000 | G#2 000 | G#5 F05
15 | === 000 | ... 000 | === 000
16 | B-4 000 | ... 000 | D#5 F03
17 | === 000 | G#1 000 | === 000
18 | D#5 000 | C-4 220 | A#5 F05
19 | === 000 | C-3 220 | === 000
1A | G#4 000 | G#2 204 | G#5 F03
1B | === 000 | G#1 304 | === 000
1C | A#4 000 | ... 304 | D#5 F05
1D | === 000 | ... 304 | === 000
1E | B-4 000 | ... 310 | A#5 F03
1F | === 000 | ... 000 | === 000
20 | D#4 000 | F-3 210 | G#5 F05
21 | === 000 | C-1 320 | === 000
22 | G#4 000 | G#2 000 | D#5 F03
23 | === 000 | ... 000 | === 000
24 | A#4 000 | G#1 000 | D#6 F05
25 | === 000 | ... 000 | === 000
26 | B-4 000 | G#2 000 | G#5 F03
27 | === 000 | G#1 000 | === 000
28 | D#5 000 | C-4 220 | D#5 F05
29 | === 000 | C-3 220 | === 000
2A | D#4 000 | G#4 000 | B-4 F03
2B | ... 000 | ... 000 | ... 000
2C | A#4 000 | G#2 000 | G#5 F05
2D | === 000 | ... 000 | === 000
2E | D#4 000 | G#4 000 | B-4 F03
2F | ... 000 | ... 000 | ... 000
30 | F#5 000 | F-3 210 | D#5 F05
31 | === 000 | C-1 320 | === 000
32 | G#4 000 | G#1 000 | C#6 F03
33 | === 000 | ... 000 | === 000
34 | A#4 000 | G#2 000 | G#5 F05
35 | === 000 | ... 000 | === 000
36 | B-4 000 | ... 000 | D#5 F03
37 | === 000 | G#1 000 | === 000
38 | D#5 000 | C-4 220 | C#6 F05
39 | === 000 | C-3 220 | === 000
3A | G#4 000 | G#2 000 | G#5 F03
3B | === 000 | ... 000 | === 000
3C | A#4 000 | G#3 308 | D#5 F05
3D | === 000 | ... 308 | === 000
3E | B-4 000 | G#2 308 | C#6 F03
3F | === 000 | ... 308 | === 000

Order 12
rw | nnn edd | nnn edd | nnn edd

00 | D#4 000 | F-3 210 | D#5 F05
01 | === 000 | C-1 320 | === 000
02 | G#4 000 | E-2 000 | G#5 F03
03 | === 000 | ... 000 | === 000
04 | A#4 000 | E-1 000 | F#6 F05
05 | === 000 | ... 000 | === 000
06 | B-4 000 | E-2 000 | G#5 F03
07 | === 000 | G#1 000 | === 000
08 | D#5 000 | C-4 220 | D#5 F05
09 | === 000 | C-3 220 | === 000
0A | D#4 000 | G#4 000 | B-4 F03
0B | ... 000 | ... 000 | ... 000
0C | A#4 000 | E-2 000 | B-5 F05
0D | === 000 | ... 000 | === 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | F#5 000 | F-3 210 | D#6 F05
11 | === 000 | C-1 320 | === 000
12 | G#4 000 | E-1 000 | G#5 F03
13 | === 000 | ... 000 | === 000
14 | A#4 000 | E-2 000 | F#6 F05
15 | === 000 | ... 000 | === 000
16 | B-4 000 | ... 000 | G#5 F03
17 | === 000 | E-1 000 | === 000
18 | D#5 000 | C-4 220 | B-5 F05
19 | === 000 | C-3 220 | === 000
1A | G#4 000 | E-2 204 | G#5 F03
1B | === 000 | E-1 304 | === 000
1C | A#4 000 | ... 304 | D#6 F05
1D | === 000 | ... 304 | === 000
1E | B-4 000 | ... 310 | G#5 F03
1F | === 000 | ... 000 | === 000
20 | D#4 000 | F-3 210 | D#6 F05
21 | === 000 | C-1 320 | === 000
22 | G#4 000 | E-2 000 | G#5 F03
23 | === 000 | ... 000 | === 000
24 | A#4 000 | E-1 000 | F#6 F05
25 | === 000 | ... 000 | === 000
26 | B-4 000 | E-2 000 | G#5 F03
27 | === 000 | E-1 000 | === 000
28 | D#5 000 | C-4 220 | D#5 F05
29 | === 000 | C-3 220 | === 000
2A | D#4 000 | G#4 000 | B-4 F03
2B | ... 000 | ... 000 | ... 000
2C | A#4 000 | E-2 000 | B-5 F05
2D | === 000 | ... 000 | === 000
2E | D#4 000 | G#4 000 | B-4 F03
2F | ... 000 | ... 000 | ... 000
30 | F#5 000 | F-3 210 | D#5 F05
31 | === 000 | C-1 320 | === 000
32 | G#4 000 | E-1 000 | G#5 F03
33 | === 000 | ... 000 | === 000
34 | A#4 000 | E-2 000 | F#6 F05
35 | === 000 | ... 000 | === 000
36 | B-4 000 | ... 000 | G#5 F03
37 | === 000 | E-1 000 | === 000
38 | D#5 000 | C-4 220 | B-5 F05
39 | === 000 | C-3 220 | === 000
3A | G#4 000 | E-2 000 | G#5 F03
3B | === 000 | ... 000 | === 000
3C | A#4 000 | E-4 210 | D#5 F05
3D | === 000 | E-3 320 | === 000
3E | B-4 000 | E-2 000 | G#5 F03
3F | === 000 | ... 000 | === 000

Order 13
rw | nnn edd | nnn edd | nnn edd

00 | D#4 000 | F-3 210 | D#5 F05
01 | === 000 | C-1 320 | === 000
02 | G#4 000 | C#2 000 | B-5 F03
03 | === 000 | ... 000 | === 000
04 | A#4 000 | C#1 000 | G#5 F05
05 | === 000 | ... 000 | === 000
06 | B-4 000 | C#2 000 | D#5 F03
07 | === 000 | C#1 000 | === 000
08 | D#5 000 | C-4 220 | B-5 F05
09 | === 000 | C-3 220 | === 000
0A | D#4 000 | G#4 000 | B-4 F03
0B | ... 000 | ... 000 | ... 000
0C | A#4 000 | C#2 000 | D#5 F05
0D | === 000 | ... 000 | === 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | F#5 000 | F-3 210 | D#5 F05
11 | === 000 | C-1 320 | === 000
12 | G#4 000 | C#1 000 | A#5 F03
13 | === 000 | ... 000 | === 000
14 | A#4 000 | C#2 000 | G#5 F05
15 | === 000 | ... 000 | === 000
16 | B-4 000 | ... 000 | D#5 F03
17 | === 000 | C#1 000 | === 000
18 | D#5 000 | C-4 220 | A#5 F05
19 | === 000 | C-3 220 | === 000
1A | G#4 000 | G#2 204 | G#5 F03
1B | === 000 | G#1 304 | === 000
1C | A#4 000 | ... 304 | D#5 F05
1D | === 000 | ... 304 | === 000
1E | B-4 000 | ... 310 | A#5 F03
1F | === 000 | ... 000 | === 000
20 | D#4 000 | F-3 210 | G#5 F05
21 | === 000 | C-1 320 | === 000
22 | G#4 000 | C#2 000 | D#5 F03
23 | === 000 | ... 000 | === 000
24 | A#4 000 | C#1 000 | D#6 F05
25 | === 000 | ... 000 | === 000
26 | B-4 000 | C#2 000 | G#5 F03
27 | === 000 | C#1 000 | === 000
28 | D#5 000 | C-4 220 | D#5 F05
29 | === 000 | C-3 220 | === 000
2A | D#4 000 | G#4 000 | B-4 F03
2B | ... 000 | ... 000 | ... 000
2C | A#4 000 | C#2 000 | G#5 F05
2D | === 000 | ... 000 | === 000
2E | D#4 000 | G#4 000 | B-4 F03
2F | ... 000 | ... 000 | ... 000
30 | F#5 000 | F-3 210 | D#5 F05
31 | === 000 | C-1 320 | === 000
32 | G#4 000 | C#1 000 | C#6 F03
33 | === 000 | ... 000 | === 000
34 | A#4 000 | C#2 000 | G#5 F05
35 | === 000 | ... 000 | === 000
36 | B-4 000 | ... 000 | D#5 F03
37 | === 000 | C#1 000 | === 000
38 | D#5 000 | C-4 220 | C#6 F05
39 | === 000 | C-3 220 | === 000
3A | G#4 000 | G#2 000 | G#5 F03
3B | === 000 | ... 000 | === 000
3C | A#4 000 | C#2 110 | D#5 F05
3D | === 000 | C#3 320 | === 000
3E | B-4 000 | C#4 000 | C#6 F03
3F | === 000 | C#3 000 | === 000

Order 14
rw | nnn edd | nnn edd | nnn edd

00 | D#4 000 | F-3 210 | D#5 F05
01 | === 000 | C-1 320 | === 000
02 | G#4 000 | G#2 000 | B-5 F03
03 | === 000 | ... 000 | === 000
04 | A#4 000 | G#1 000 | G#5 F05
05 | === 000 | ... 000 | === 000
06 | B-4 000 | G#2 000 | D#5 F03
07 | === 000 | G#1 000 | === 000
08 | D#5 000 | C-4 220 | B-5 F05
09 | === 000 | C-3 220 | === 000
0A | D#4 000 | G#4 000 | B-4 F03
0B | ... 000 | ... 000 | ... 000
0C | A#4 000 | G#2 000 | D#5 F05
0D | === 000 | ... 000 | === 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | F#5 000 | F-3 210 | D#5 F05
11 | === 000 | C-1 320 | === 000
12 | G#4 000 | G#1 000 | A#5 F03
13 | === 000 | ... 000 | === 000
14 | A#4 000 | G#2 000 | G#5 F05
15 | === 000 | ... 000 | === 000
16 | B-4 000 | ... 000 | D#5 F03
17 | === 000 | G#1 000 | === 000
18 | D#5 000 | C-4 220 | A#5 F05
19 | === 000 | C-3 220 | === 000
1A | G#4 000 | G#2 204 | G#5 F03
1B | === 000 | G#1 304 | === 000
1C | A#4 000 | ... 304 | D#5 F05
1D | === 000 | ... 304 | === 000
1E | B-4 000 | ... 310 | A#5 F03
1F | === 000 | ... 000 | === 000
20 | D#4 000 | F-3 210 | G#5 F05
21 | === 000 | C-1 320 | === 000
22 | G#4 000 | G#2 000 | D#5 F03
23 | === 000 | ... 000 | === 000
24 | A#4 000 | G#1 000 | D#6 F05
25 | === 000 | ... 000 | === 000
26 | B-4 000 | G#2 000 | G#5 F03
27 | === 000 | G#1 000 | === 000
28 | D#5 000 | C-4 220 | D#5 F05
29 | === 000 | C-3 220 | === 000
2A | D#4 000 | G#4 000 | B-4 F03
2B | ... 000 | ... 000 | ... 000
2C | A#4 000 | G#2 000 | G#5 F05
2D | === 000 | ... 000 | === 000
2E | D#4 000 | G#4 000 | B-4 F03
2F | ... 000 | ... 000 | ... 000
30 | F#5 000 | F-3 210 | D#5 F05
31 | === 000 | C-1 320 | === 000
32 | G#4 000 | G#1 000 | C#6 F03
33 | === 000 | ... 000 | === 000
34 | A#4 000 | G#2 000 | G#5 F05
35 | === 000 | ... 000 | === 000
36 | B-4 000 | ... 000 | D#5 F03
37 | === 000 | G#1 000 | === 000
38 | D#5 000 | C-4 220 | C#6 F05
39 | === 000 | C-3 220 | === 000
3A | G#4 000 | G#2 000 | G#5 F03
3B | === 000 | ... 000 | === 000
3C | G#5 000 | G#2 110 | D#5 F05
3D | ... 000 | G#3 320 | === 000
3E | B-4 000 | G#4 000 | C#6 F03
3F | === 000 | G#3 000 | === 000

Order 11
rw | nnn edd | nnn edd | nnn edd

00 | D#4 000 | F-3 210 | D#5 F05
01 | === 000 | C-1 320 | === 000
02 | G#4 000 | G#2 000 | B-5 F03
03 | === 000 | ... 000 | === 000
04 | A#4 000 | G#1 000 | G#5 F05
05 | === 000 | ... 000 | === 000
06 | B-4 000 | G#2 000 | D#5 F03
07 | === 000 | G#1 000 | === 000
08 | D#5 000 | C-4 220 | B-5 F05
09 | === 000 | C-3 220 | === 000
0A | D#4 000 | G#4 000 | B-4 F03
0B | ... 000 | ... 000 | ... 000
0C | A#4 000 | G#2 000 | D#5 F05
0D | === 000 | ... 000 | === 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | F#5 000 | F-3 210 | D#5 F05
11 | === 000 | C-1 320 | === 000
12 | G#4 000 | G#1 000 | A#5 F03
13 | === 000 | ... 000 | === 000
14 | A#4 000 | G#2 000 | G#5 F05
15 | === 000 | ... 000 | === 000
16 | B-4 000 | ... 000 | D#5 F03
17 | === 000 | G#1 000 | === 000
18 | D#5 000 | C-4 220 | A#5 F05
19 | === 000 | C-3 220 | === 000
1A | G#4 000 | G#2 204 | G#5 F03
1B | === 000 | G#1 304 | === 000
1C | A#4 000 | ... 304 | D#5 F05
1D | === 000 | ... 304 | === 000
1E | B-4 000 | ... 310 | A#5 F03
1F | === 000 | ... 000 | === 000
20 | D#4 000 | F-3 210 | G#5 F05
21 | === 000 | C-1 320 | === 000
22 | G#4 000 | G#2 000 | D#5 F03
23 | === 000 | ... 000 | === 000
24 | A#4 000 | G#1 000 | D#6 F05
25 | === 000 | ... 000 | === 000
26 | B-4 000 | G#2 000 | G#5 F03
27 | === 000 | G#1 000 | === 000
28 | D#5 000 | C-4 220 | D#5 F05
29 | === 000 | C-3 220 | === 000
2A | D#4 000 | G#4 000 | B-4 F03
2B | ... 000 | ... 000 | ... 000
2C | A#4 000 | G#2 000 | G#5 F05
2D | === 000 | ... 000 | === 000
2E | D#4 000 | G#4 000 | B-4 F03
2F | ... 000 | ... 000 | ... 000
30 | F#5 000 | F-3 210 | D#5 F05
31 | === 000 | C-1 320 | === 000
32 | G#4 000 | G#1 000 | C#6 F03
33 | === 000 | ... 000 | === 000
34 | A#4 000 | G#2 000 | G#5 F05
35 | === 000 | ... 000 | === 000
36 | B-4 000 | ... 000 | D#5 F03
37 | === 000 | G#1 000 | === 000
38 | D#5 000 | C-4 220 | C#6 F05
39 | === 000 | C-3 220 | === 000
3A | G#4 000 | G#2 000 | G#5 F03
3B | === 000 | ... 000 | === 000
3C | A#4 000 | G#3 308 | D#5 F05
3D | === 000 | ... 308 | === 000
3E | B-4 000 | G#2 308 | C#6 F03
3F | === 000 | ... 308 | === 000

Order 12
rw | nnn edd | nnn edd | nnn edd

00 | D#4 000 | F-3 210 | D#5 F05
01 | === 000 | C-1 320 | === 000
02 | G#4 000 | E-2 000 | G#5 F03
03 | === 000 | ... 000 | === 000
04 | A#4 000 | E-1 000 | F#6 F05
05 | === 000 | ... 000 | === 000
06 | B-4 000 | E-2 000 | G#5 F03
07 | === 000 | G#1 000 | === 000
08 | D#5 000 | C-4 220 | D#5 F05
09 | === 000 | C-3 220 | === 000
0A | D#4 000 | G#4 000 | B-4 F03
0B | ... 000 | ... 000 | ... 000
0C | A#4 000 | E-2 000 | B-5 F05
0D | === 000 | ... 000 | === 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | F#5 000 | F-3 210 | D#6 F05
11 | === 000 | C-1 320 | === 000
12 | G#4 000 | E-1 000 | G#5 F03
13 | === 000 | ... 000 | === 000
14 | A#4 000 | E-2 000 | F#6 F05
15 | === 000 | ... 000 | === 000
16 | B-4 000 | ... 000 | G#5 F03
17 | === 000 | E-1 000 | === 000
18 | D#5 000 | C-4 220 | B-5 F05
19 | === 000 | C-3 220 | === 000
1A | G#4 000 | E-2 204 | G#5 F03
1B | === 000 | E-1 304 | === 000
1C | A#4 000 | ... 304 | D#6 F05
1D | === 000 | ... 304 | === 000
1E | B-4 000 | ... 310 | G#5 F03
1F | === 000 | ... 000 | === 000
20 | D#4 000 | F-3 210 | D#6 F05
21 | === 000 | C-1 320 | === 000
22 | G#4 000 | E-2 000 | G#5 F03
23 | === 000 | ... 000 | === 000
24 | A#4 000 | E-1 000 | F#6 F05
25 | === 000 | ... 000 | === 000
26 | B-4 000 | E-2 000 | G#5 F03
27 | === 000 | E-1 000 | === 000
28 | D#5 000 | C-4 220 | D#5 F05
29 | === 000 | C-3 220 | === 000
2A | D#4 000 | G#4 000 | B-4 F03
2B | ... 000 | ... 000 | ... 000
2C | A#4 000 | E-2 000 | B-5 F05
2D | === 000 | ... 000 | === 000
2E | D#4 000 | G#4 000 | B-4 F03
2F | ... 000 | ... 000 | ... 000
30 | F#5 000 | F-3 210 | D#5 F05
31 | === 000 | C-1 320 | === 000
32 | G#4 000 | E-1 000 | G#5 F03
33 | === 000 | ... 000 | === 000
34 | A#4 000 | E-2 000 | F#6 F05
35 | === 000 | ... 000 | === 000
36 | B-4 000 | ... 000 | G#5 F03
37 | === 000 | E-1 000 | === 000
38 | D#5 000 | C-4 220 | B-5 F05
39 | === 000 | C-3 220 | === 000
3A | G#4 000 | E-2 000 | G#5 F03
3B | === 000 | ... 000 | === 000
3C | A#4 000 | E-4 210 | D#5 F05
3D | === 000 | E-3 320 | === 000
3E | B-4 000 | E-2 000 | G#5 F03
3F | === 000 | ... 000 | === 000

Order 13
rw | nnn edd | nnn edd | nnn edd

00 | D#4 000 | F-3 210 | D#5 F05
01 | === 000 | C-1 320 | === 000
02 | G#4 000 | C#2 000 | B-5 F03
03 | === 000 | ... 000 | === 000
04 | A#4 000 | C#1 000 | G#5 F05
05 | === 000 | ... 000 | === 000
06 | B-4 000 | C#2 000 | D#5 F03
07 | === 000 | C#1 000 | === 000
08 | D#5 000 | C-4 220 | B-5 F05
09 | === 000 | C-3 220 | === 000
0A | D#4 000 | G#4 000 | B-4 F03
0B | ... 000 | ... 000 | ... 000
0C | A#4 000 | C#2 000 | D#5 F05
0D | === 000 | ... 000 | === 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | F#5 000 | F-3 210 | D#5 F05
11 | === 000 | C-1 320 | === 000
12 | G#4 000 | C#1 000 | A#5 F03
13 | === 000 | ... 000 | === 000
14 | A#4 000 | C#2 000 | G#5 F05
15 | === 000 | ... 000 | === 000
16 | B-4 000 | ... 000 | D#5 F03
17 | === 000 | C#1 000 | === 000
18 | D#5 000 | C-4 220 | A#5 F05
19 | === 000 | C-3 220 | === 000
1A | G#4 000 | G#2 204 | G#5 F03
1B | === 000 | G#1 304 | === 000
1C | A#4 000 | ... 304 | D#5 F05
1D | === 000 | ... 304 | === 000
1E | B-4 000 | ... 310 | A#5 F03
1F | === 000 | ... 000 | === 000
20 | D#4 000 | F-3 210 | G#5 F05
21 | === 000 | C-1 320 | === 000
22 | G#4 000 | C#2 000 | D#5 F03
23 | === 000 | ... 000 | === 000
24 | A#4 000 | C#1 000 | D#6 F05
25 | === 000 | ... 000 | === 000
26 | B-4 000 | C#2 000 | G#5 F03
27 | === 000 | C#1 000 | === 000
28 | D#5 000 | C-4 220 | D#5 F05
29 | === 000 | C-3 220 | === 000
2A | D#4 000 | G#4 000 | B-4 F03
2B | ... 000 | ... 000 | ... 000
2C | A#4 000 | C#2 000 | G#5 F05
2D | === 000 | ... 000 | === 000
2E | D#4 000 | G#4 000 | B-4 F03
2F | ... 000 | ... 000 | ... 000
